,Country,Disaster Type,Number of Disasters
285,Nigeria,Volcanic activity,0
286,Pakistan,Volcanic activity,0
287,Russian Federation,Volcanic activity,0
288,Democratic Republic of the Congo,Volcanic activity,3
289,Bangladesh,Volcanic activity,0
290,China,Water,36
291,India,Water,39
292,United States of America,Water,11
293,Indonesia,Water,69
294,Philippines,Water,27
295,Nigeria,Water,52
296,Pakistan,Water,10
297,Russian Federation,Water,19
298,Democratic Republic of the Congo,Water,74
299,Bangladesh,Water,61
300,China,Wildfire,5
301,India,Wildfire,2
302,United States of America,Wildfire,77
303,Indonesia,Wildfire,6
304,Philippines,Wildfire,0
305,Nigeria,Wildfire,0
306,Pakistan,Wildfire,1
307,Russian Federation,Wildfire,20
308,Democratic Republic of the Congo,Wildfire,3
309,Bangladesh,Wildfire,0
